folder,name,gtfs_match,gtfs_stop_id,gtfs_stop_name,dist_gtfs_point_m,n_vertices,centroid_lat,centroid_lon,area_m2,mar_length_m,mar_width_m,aspect_ratio,rect_fill,bearing_mar_deg,bearing_pca_area_deg,elongation_pca,line_bearing_shape_proj_deg,dist_centroid_to_track_m,diff_pca_vs_track_deg,bearing_longest_edge_deg,longest_edge_m,bbox_w_m,bbox_h_m,line_bearing_kml_seg_deg,diff_kml_seg_deg
Line 3,Coyoacan,exacto+linea,0200L3-COYOACAN,Coyoacán,4.5,26,19.3613197,-99.1708607,3177.5,156.6,60.9,2.57,0.333,35.7,24.9,3.55,24.0,1.8,0.9,23.2,49.9,84.8,150.2,29.3,6.4
Line 3,Viveros,SIN MATCH,,,,26,19.353443,-99.1759337,3782.0,209.4,39.5,5.31,0.458,39.1,41.0,6.72,47.7,6.0,6.7,40.6,178.6,159.5,176.0,44.6,5.5
Line 3,Miguel Angel de Quevedo,exacto+linea,0200L3-MAQ,Miguel Ángel de Quevedo,18.5,112,19.3460972,-99.1808286,4435.8,159.2,89.7,1.77,0.311,29.9,12.0,1.81,,,,10.9,101.4,95.5,160.2,11.6,18.3
Line 3,Copilco,exacto+linea,0200L3-COPILCO,Copilco,10.2,37,19.3360937,-99.1770666,3953.4,156.5,71.6,2.19,0.353,102.9,123.2,3.29,120.8,5.5,2.4,121.3,54.3,144.4,97.8,125.6,22.7
Line 3,Universidad,exacto+linea,0200L3-UNIVERSIDAD,Universidad,5.8,20,19.3243702,-99.1738889,6389.5,180.9,130.2,1.39,0.271,6.8,5.4,2.36,5.8,5.0,0.4,5.7,82.8,135.0,183.0,8.0,1.2
Line 3,Indios Verdes,exacto+linea,0200L3-INDIOSVERD,Indios Verdes,18.1,159,19.495357,-99.1196817,8841.2,206.4,188.0,1.1,0.228,102.7,1.3,1.1,12.5,18.1,11.2,103.2,119.3,224.0,187.1,12.3,89.6
Line 4,Martin Carrera,exacto+linea,0200L4-MARTINCARR,Martín Carrera,94.1,130,19.4844751,-99.1050376,11890.4,385.1,130.3,2.95,0.237,45.3,46.7,4.84,35.8,20.1,10.9,35.6,156.1,351.2,306.6,39.3,6.0
Line 4,Talisman,exacto+linea,0200L4-TALISMAN,Talismán,6.0,24,19.474307,-99.1080196,4183.7,135.9,105.2,1.29,0.293,158.3,1.0,1.43,14.8,0.7,13.8,14.5,79.4,118.7,158.1,14.8,36.5
Line 4,Bondojito,exacto+linea,0200L4-BONDOJITO,Bondojito,22.7,24,19.4648103,-99.1118798,4283.7,150.7,110.3,1.37,0.258,172.4,15.9,1.66,19.5,3.0,3.6,19.6,119.1,113.8,157.6,20.3,27.9
Line 4,Consulado,exacto+linea,0200L4-CONSULADO,Consulado,3.6,87,19.458045,-99.1138787,8743.7,142.3,130.4,1.09,0.471,152.4,110.8,1.23,13.2,1.9,82.4,12.6,93.3,141.2,160.5,12.9,40.5
Line 4,Canal del Norte,exacto+linea,0200L4-CANALNTE,Canal del Norte,6.5,25,19.4489068,-99.1161715,3928.6,137.6,106.5,1.29,0.268,49.8,15.9,1.53,13.1,3.0,2.8,13.1,90.6,112.9,161.5,12.9,36.9
Line 4,Morelos,exacto+linea,0200L4-MORELOS,Morelos,3.4,38,19.4396295,-99.1181457,4875.2,132.3,128.5,1.03,0.287,149.1,100.5,1.08,10.0,1.3,89.5,9.8,76.9,151.9,161.6,7.6,38.5
Line 4,Candelaria,exacto+linea,0200L4-CANDELARIA,Candelaria,15.1,55,19.4287497,-99.1195736,6790.5,171.4,153.7,1.11,0.258,73.3,165.3,1.22,8.5,15.1,23.2,97.0,96.9,172.2,159.5,10.4,62.9
Line 4,Fray Servando,exacto+linea,0200L4-FRAYSERVANDO,Fray Servando,7.3,33,19.4216508,-99.1205047,4710.5,132.6,125.2,1.06,0.284,147.3,5.5,1.11,7.5,2.1,2.0,7.8,95.3,143.5,164.3,7.7,40.4
Line 4,Jamaica,exacto+linea,0200L4-JAMAICA,Jamaica,5.1,55,19.410964,-99.1217259,6187.4,145.6,127.9,1.14,0.332,143.7,101.5,1.03,179.2,1.9,77.7,179.3,83.0,127.7,162.9,179.4,35.7
