folder,name,gtfs_match,gtfs_stop_id,gtfs_stop_name,dist_gtfs_point_m,n_vertices,centroid_lat,centroid_lon,area_m2,mar_length_m,mar_width_m,aspect_ratio,rect_fill,bearing_mar_deg,bearing_pca_area_deg,elongation_pca,line_bearing_shape_proj_deg,dist_centroid_to_track_m,diff_pca_vs_track_deg,bearing_longest_edge_deg,longest_edge_m,bbox_w_m,bbox_h_m,line_bearing_kml_seg_deg,diff_kml_seg_deg
Line 9,Jamaica,exacto+linea,0200L9-JAMAICA,Jamaica,22.8,48,19.4092994,-99.1223994,6526.2,253.4,121.9,2.08,0.211,40.5,40.6,1.99,84.8,22.1,44.2,179.4,152.1,164.6,205.5,89.1,48.6
Line 9,Chabacano,exacto+linea,0200L9-CHABACANO,Chabacano,15.8,40,19.4086393,-99.1340318,7141.7,152.5,102.7,1.49,0.456,108.3,113.5,1.31,76.1,14.2,37.4,86.4,50.6,158.1,111.4,83.7,24.6
Line 9,Lazaro Cardenas,exacto+linea,0200L9-LAZAROCAR,Lázaro Cárdenas,23.3,26,19.4072021,-99.144409,4320.4,152.7,68.5,2.23,0.413,81.2,87.9,2.6,,,,88.2,44.8,152.3,69.1,84.4,3.2
Line 9,Centro Medico,exacto+linea,0200L9-CENTROMEDICO,Centro Médico,5.8,42,19.4065552,-99.1559753,4122.3,152.6,52.5,2.9,0.514,80.6,86.8,4.43,,,,87.8,79.1,154.3,55.5,86.6,6.0
Line 9,Chilpancingo,exacto+linea,0200L9-CHILPANCINGO,Chilpancingo,5.8,44,19.405928,-99.1684646,3061.9,160.3,30.7,5.23,0.623,85.3,87.6,7.12,88.3,0.4,0.7,88.6,44.1,160.4,34.2,86.6,1.3
Line 9,Patriotismo,exacto+linea,0200L9-PATRIOTISMO,Patriotismo,3.9,28,19.4060786,-99.1789374,4038.9,155.5,52.3,2.97,0.497,107.2,109.1,4.06,107.2,3.7,1.9,108.7,38.3,151.6,65.5,105.2,2.0
Line 9,Tacubaya,exacto+linea,0200L9-TACUBAYA,Tacubaya,29.0,67,19.4012531,-99.1879275,6339.9,191.1,75.4,2.54,0.44,28.4,33.9,3.41,33.6,28.9,0.3,27.6,53.3,138.5,159.8,39.6,11.2
Line B,Ciudad Azteca,exacto+linea,0200LB-CIUDADAZTECA,Ciudad Azteca,3.1,28,19.5345211,-99.0274832,5065.6,198.6,70.8,2.81,0.361,20.9,21.5,4.94,22.2,2.9,0.7,21.4,115.0,110.0,189.1,,
Line B,Plaza Aragon,exacto+linea,0200LB-PLAZAARAGON,Plaza Aragón,2.4,24,19.5285017,-99.0301775,3220.7,165.5,85.1,1.94,0.229,177.9,22.8,3.15,24.0,0.5,1.2,23.9,77.1,86.9,168.1,,
Line B,Olimpica,exacto+linea,0200LB-OLIMPICA,Olímpica,1.6,26,19.5213375,-99.0333471,3143.6,161.5,96.9,1.67,0.201,174.3,22.5,3.07,22.7,0.1,0.2,22.1,76.7,99.6,169.0,,
Line B,Ecatepec,exacto+linea,0200LB-ECATEPEC,Ecatepec,1.2,33,19.5151204,-99.036064,3621.1,159.4,96.3,1.66,0.236,174.2,22.9,2.61,22.7,0.7,0.2,23.6,66.5,98.5,167.3,,
Line B,Muzquiz,exacto+linea,0200LB-MUZQUIZ,Múzquiz,1.7,34,19.5014771,-99.0420613,3657.1,178.3,100.5,1.77,0.204,51.2,23.4,2.72,22.5,1.1,0.9,22.6,64.2,105.1,186.1,,
Line B,Rio de los Remedios,exacto+linea,0200LB-RIOREMEDIOS,Río de los Remedios,5.3,25,19.4907215,-99.0467523,3483.9,195.5,96.2,2.03,0.185,23.2,23.8,3.89,22.6,1.9,1.2,22.8,100.7,121.4,188.4,,
Line B,Impulsora,exacto+linea,0200LB-IMPULSORA,Impulsora,57.3,8,19.486209,-99.0487128,331.6,78.7,8.1,9.67,0.518,14.5,16.5,10.09,,,,14.5,77.2,24.1,75.6,,
Line B,Nezahualcoyotl,exacto+linea,0200LB-NEZAHUALCO,Nezahualcóyotl,3.8,35,19.472857,-99.0546175,3535.4,170.5,68.6,2.49,0.302,2.9,17.3,3.11,22.7,0.8,5.4,22.7,69.6,74.3,167.2,,
Line B,Villa de Aragon,exacto+linea,0200LB-VILLAARAGON,Villa de Aragón,1.4,30,19.4616643,-99.0613678,2922.0,190.5,77.8,2.45,0.197,91.7,73.3,4.43,72.8,1.1,0.5,72.9,76.9,192.2,78.4,,
Line B,Bosque de Aragon,exacto+linea,0200LB-BOSQUEARAGON,Bosque de Aragón,1.7,30,19.458104,-99.0692837,3155.0,173.5,69.1,2.51,0.263,34.6,52.5,4.5,52.5,0.5,0.0,52.7,75.3,147.2,112.7,,
Line B,Deportivo Oceania,exacto+linea,0200LB-DPVOOCEANIA,Deportivo Oceanía,3.8,35,19.4510215,-99.0792964,3294.4,184.4,64.4,2.86,0.277,59.9,60.8,5.33,60.3,1.0,0.5,60.8,77.1,161.8,92.3,,
Line B,Oceania,exacto+linea,0200LB-OCEANIA,Oceanía,8.1,50,19.4457178,-99.0871491,3450.3,152.3,67.7,2.25,0.334,52.6,52.4,3.94,52.9,2.3,0.5,52.4,30.9,130.6,105.7,,
Line B,Romero Rubio,exacto+linea,0200LB-ROMERORUBIO,Romero Rubio,31.5,34,19.4407095,-99.0944659,4229.7,157.1,54.2,2.9,0.496,63.3,65.2,3.49,62.7,0.3,2.5,64.3,95.9,157.2,87.5,,
Line B,Ricardo Flores Magon,exacto+linea,0200LB-RFLORESMAGON,Ricardo Flores Magón,2.5,41,19.4365701,-99.103686,3975.8,149.3,67.9,2.2,0.392,45.1,64.3,3.17,64.5,0.6,0.2,64.7,53.9,144.7,81.7,,
Line B,San Lazaro,exacto+linea,0200LB-SANLAZARO,San Lázaro,102.6,59,19.4315785,-99.1134602,10543.6,419.9,134.5,3.12,0.187,32.6,28.4,3.67,97.2,56.5,68.8,64.6,184.1,257.8,355.4,,
Line B,Morelos,exacto+linea,0200LB-MORELOS,Morelos,24.5,34,19.4393843,-99.1196223,4346.6,156.0,122.1,1.28,0.228,92.1,112.2,1.33,135.1,11.1,22.9,139.1,74.4,156.3,125.2,,
Line B,Tepito,exacto+linea,0200LB-TEPITO,Tepito,28.1,27,19.4427932,-99.1243374,3526.5,162.2,31.3,5.19,0.696,95.1,94.6,5.47,95.6,1.9,1.0,95.5,75.7,161.2,38.6,,
Line B,Lagunilla,exacto+linea,0200LB-LAGUNILLA,Lagunilla,164.0,32,19.4432868,-99.1317906,3308.8,153.9,39.3,3.91,0.547,94.3,95.2,4.18,93.9,6.3,1.3,94.6,74.2,154.1,39.7,,
Line B,Garibaldi,SIN MATCH,,,,26,19.4438537,-99.1375956,3487.6,165.5,31.0,5.34,0.68,95.3,95.6,5.57,94.3,1.9,1.3,94.9,60.6,164.1,39.3,,
Line B,Guerrero,exacto+linea,0200LB-GUERRERO,Guerrero,7.1,34,19.4451258,-99.146074,3700.9,202.3,34.9,5.79,0.524,100.2,98.2,5.51,,,,100.2,53.5,203.6,51.5,,
Line B,Buenavista,exacto+linea,0200LB-BUENAVISTA,Buenavista,6.1,27,19.4462006,-99.152407,4248.6,156.3,68.0,2.3,0.4,117.9,103.4,3.13,,,,99.9,73.1,159.9,85.9,,
Line 12,Alvaro Obregon,SIN MATCH,,,,47,19.3901797,-99.1967613,9710.4,156.5,92.3,1.7,0.672,170.0,176.9,1.8,,,,174.4,41.0,93.3,158.6,175.6,5.6
Line 12,Valentin Campa,SIN MATCH,,,,61,19.3821703,-99.2003702,10420.7,163.0,125.5,1.3,0.509,55.4,51.7,1.1,,,,90.3,44.1,181.3,155.6,34.9,20.5
Line 12,Alfonso XIII,SIN MATCH,,,,13,19.3758677,-99.1963716,5253.9,155.7,53.7,2.9,0.629,96.9,89.6,2.89,,,,88.0,77.5,155.0,61.7,96.6,0.3
Line 12,Mixcoac,exacto+linea,020L12-MIXCOAC,Mixcoac,7.2,24,19.3757622,-99.1867481,5347.4,152.6,96.0,1.59,0.365,87.9,110.5,2.6,,,,107.0,80.7,153.5,96.8,103.6,15.7
Line 12,Insurgentes Sur,exacto+linea,020L12-INSURGENTESSUR,Insurgentes Sur,23.5,31,19.3734818,-99.1780381,4196.0,161.2,35.8,4.5,0.726,102.0,103.3,5.15,100.1,2.5,3.2,104.7,74.4,162.1,65.0,103.6,1.6
Line 12,Hospital 20 de Noviembre,exacto+linea,020L12-HOSPITAL20,Hospital 20 de Noviembre,4.1,20,19.3719767,-99.1708967,4372.4,150.7,31.9,4.72,0.909,103.2,103.1,5.04,,,,103.1,60.7,153.1,63.6,103.6,0.4
Line 12,Zapata,exacto+linea,020L12-ZAPATA,Zapata,21.6,23,19.3707844,-99.1654065,5778.4,188.5,86.5,2.18,0.354,110.2,98.9,4.33,102.3,2.0,3.4,103.5,147.6,203.7,87.4,103.6,6.6
Line 12,Parque de los Venados,exacto+linea,020L12-PARQUEVENADOS,Parque de los Venados,4.3,12,19.3706625,-99.1586794,4174.5,152.2,35.6,4.27,0.769,99.4,99.7,4.86,100.1,1.1,0.4,99.9,80.5,153.5,49.2,99.2,0.2
Line 12,Eje Central,exacto+linea,020L12-EJECENTRAL,Eje Central,0.7,16,19.3613354,-99.1514252,4482.9,153.1,59.5,2.57,0.492,100.2,99.4,4.2,,,,100.3,62.4,155.3,60.1,105.6,5.4
Line 12,Ermita,exacto+linea,020L12-ERMITA,Ermita,67.7,30,19.3599941,-99.1422476,6695.3,294.4,149.6,1.97,0.152,125.5,108.7,2.58,98.9,11.7,9.8,96.2,162.2,258.5,184.7,99.4,26.1
Line 12,Mexicaltzingo,exacto+linea,020L12-MEXICALTZINGO,Mexicaltzingo,15.6,26,19.3577817,-99.1229932,3224.2,163.2,65.6,2.49,0.301,99.1,92.1,5.0,94.4,4.0,2.3,96.2,130.1,168.9,65.0,96.7,2.4
Line 12,Atlalilco,exacto+linea,020L12-ATLALILCO,Atlalilco,195.8,49,19.3542395,-99.1052492,11699.4,682.3,310.5,2.2,0.055,50.6,43.4,2.51,167.6,78.3,55.8,95.3,176.1,538.2,441.4,90.0,39.4
Line A,Pantitlan,exacto+linea,0200LA-PANTITLAN,Pantitlán,72.3,72,19.4157535,-99.0724132,15377.3,329.2,189.0,1.74,0.247,121.5,134.7,2.07,31.4,72.1,76.7,121.0,82.4,322.4,251.1,52.6,68.9
Line A,Agricola Oriental,exacto+linea,0200LA-AGRICOLA,Agrícola Oriental,3.4,24,19.4045905,-99.0695618,2652.3,154.0,100.2,1.54,0.172,89.0,121.3,2.98,121.2,2.4,0.1,121.6,73.1,155.6,99.4,52.6,36.4
Line A,Canal de San Juan,exacto+linea,0200LA-CANALSANJUAN,Canal de San Juan,4.2,25,19.3987557,-99.0594594,2815.1,137.6,110.0,1.25,0.186,158.5,121.5,2.47,121.4,2.7,0.1,121.3,73.1,147.9,115.5,52.6,74.1
Line A,Tepalcates,exacto+linea,0200LA-TEPALCATES,Tepalcates,7.4,30,19.3912288,-99.0463751,3149.5,150.5,122.8,1.23,0.17,86.7,117.8,1.68,121.1,7.0,3.3,121.4,74.1,155.8,120.1,52.6,34.1
Line A,La Paz,exacto+linea,0200LA-LAPAZ,La Paz,22.2,28,19.3504664,-98.9611266,6663.5,196.2,144.4,1.36,0.235,156.6,155.4,1.44,156.8,22.5,1.4,156.6,195.3,198.1,212.2,49.3,72.7
Line A,Guelatao,exacto+linea,0200LA-GUELATAO,Guelatao,0.6,26,19.3851494,-99.0356659,2887.9,164.9,95.0,1.74,0.184,92.7,121.2,3.05,121.5,0.8,0.3,121.5,75.5,160.9,101.7,52.1,40.6
Line A,Penon Viejo,exacto+linea,0200LA-PENONVIEJO,Penón Viejo,8.7,27,19.3733395,-99.017127,3048.9,134.4,131.4,1.02,0.173,84.6,125.7,2.0,127.5,1.6,1.8,40.4,78.8,144.7,130.8,52.1,32.5
Line A,Acatitla,exacto+linea,0200LA-ACATITLA,Acatitla,7.9,24,19.3647776,-99.0056254,2962.6,147.5,138.7,1.06,0.145,167.4,131.0,1.44,130.3,8.3,0.7,41.3,95.2,142.6,147.4,49.3,61.9
Line A,Santa Marta,exacto+linea,0200LA-STAMARTA,Santa Marta,6.8,40,19.3602652,-98.995136,3541.8,179.0,107.0,1.67,0.185,104.4,96.9,3.31,,,,95.3,145.9,186.4,118.2,49.3,55.1
Line A,Los Reyes,exacto+linea,0200LA-LOSREYES,Los Reyes,1.5,20,19.35904,-98.9768558,2575.0,177.6,61.6,2.88,0.235,64.0,80.4,6.7,80.5,0.1,0.1,80.4,74.9,182.0,63.1,49.3,14.7
