,x,y,class,href,texto,x_texto,y_texto,text_anchor,transform,color,stops
114,77.0,38.0,linea5,                                                                                                                  #clg-fff200,Eduardo Molina,77.75,38.0,,,#fff200,['0200L5-EDUARDOMOLI']
115,77.0,51.0,lineaB,                                                                                                                  #clg-a4a5a7,Ricardo Flores Magon,77.75,50.5,,rotate(45),#a4a5a7,['0200LB-RFLORESMAGON']
116,78.0,69.0,linea9,#clg-92535d,Velodromo,77.25,69.0,end,rotate(-45),#92535d,['0200L9-VELODROMO']
117,78.0,102.0,linea12,                                                                                                                #clg-fff0b5,Lomas Estrella,78.75,102.0,,,#fff0b5,['020L12-LOMASESTRELLA']
118,79.0,56.0,linea1,#clg-ff9cce,Balbuena,78.25,56.0,end,,#ff9cce,['0200L1-BALBUENA']
119,79.0,95.0,linea8,#clg-00be00,Itzapalapa,79.75,95.0,,rotate(-45),#00be00,['0200L8-IZTAPALAPA']
120,80.0,41.0,linea5,#clg-fff200,Aragón,80.75,41.0,,,#fff200,['0200L5-ARAGON']
121,80.0,59.0,linea1,                                                                                                                  #clg-ff9cce,Boulevard Puerto Aero,79.25,59.0,end,,#ff9cce,['0200L1-PTOAEREO']
122,81.0,48.0,lineaB,                                                                                                                  #clg-a4a5a7,Romero Rubio,81.75,48.0,,,#a4a5a7,['0200LB-ROMERORUBIO']
123,81.0,62.0,linea1,                                                                                                                  #clg-ff9cce,Gomez Farias,81.75,62.0,,,#ff9cce,[]
124,81.0,103.0,linea12,                                                                                                                #clg-fff0b5,Calle 11,80.25,103.0,end,rotate(-45),#fff0b5,['020L12-CALLE11']
125,82.0,69.0,linea9,                                                                                                                  #clg-92535d,Ciudad Deportiva,81.25,69.0,end,rotate(-45),#92535d,['0200L9-CIUDADDVA']
126,82.0,95.0,linea8,                                                                                                                  #clg-00be00,Calle de la Estrella,82.75,95.0,,rotate(-45),#00be00,['0200L8-CERROESTRELLA']
127,83.0,64.0,linea1,#clg-ff9cce,Zaragoza,82.25,64.0,end,,#ff9cce,['0200L1-ZARAGOZA']
128,84.0,45.0,lineaB,#clg-xf-a4a5a7,Oceania,85.5,45.0,,,#a4a5a7,['0200LB-OCEANIA' '0200L5-OCEANIA']
129,84.0,103.0,linea12,                                                                                                                #clg-fff0b5,Periferico Oeste,84.75,103.0,,,#fff0b5,[]
130,85.0,68.0,linea9,#clg-92535d,Puebla,85.75,68.0,,,#92535d,['0200L9-PUEBLA']
131,85.0,95.0,linea8,#clg-00be00,UAM-I,85.75,95.0,,rotate(-45),#00be00,['0200L8-UAM-I']
132,86.0,105.0,linea12,#clg-fff0b5,Tezonco,86.75,105.0,,,#fff0b5,['020L12-TEZONCO']
133,87.0,42.0,lineaB,                                                                                                                  #clg-a4a5a7,Deportivo Oceania,87.75,42.0,,,#a4a5a7,['0200LB-DPVOOCEANIA']
134,88.0,12.0,lineaB,                                                                                                                  #clg-a4a5a7,Ciudad Azteca,88.75,12.0,,,#a4a5a7,['0200LB-CIUDADAZTECA']
135,88.0,15.0,lineaB,                                                                                                                  #clg-a4a5a7,Plaza Aragon,88.75,15.0,,,#a4a5a7,['0200LB-PLAZAARAGON']
136,88.0,18.0,lineaB,#clg-a4a5a7,Olimpica,88.75,18.0,,,#a4a5a7,['0200LB-OLIMPICA']
137,88.0,21.0,lineaB,#clg-a4a5a7,Ecatepec,88.75,21.0,,,#a4a5a7,['0200LB-ECATEPEC']
138,88.0,24.0,lineaB,#clg-a4a5a7,Muzquiz,88.75,24.0,,,#a4a5a7,['0200LB-MUZQUIZ']
139,88.0,27.0,lineaB,                                                                                                                  #clg-a4a5a7,Rio de los Remedios,88.75,27.0,,,#a4a5a7,['0200LB-RIOREMEDIOS']
140,88.0,30.0,lineaB,#clg-a4a5a7,Impulsora,88.75,30.0,,,#a4a5a7,['0200LB-IMPULSORA']
141,88.0,33.0,lineaB,#clg-a4a5a7,Nezahualcoyotl,88.75,33.0,,,#a4a5a7,['0200LB-NEZAHUALCO']
142,88.0,36.0,lineaB,                                                                                                                  #clg-a4a5a7,Villa de Aragón,88.75,36.0,,,#a4a5a7,['0200LB-VILLAARAGON']
143,88.0,39.0,lineaB,                                                                                                                  #clg-a4a5a7,Bosque de Aragon,88.75,39.0,,,#a4a5a7,['0200LB-BOSQUEARAGON']
144,88.0,53.0,linea5,                                                                                                                  #clg-fff200,Terminal Aerea,88.75,53.0,,,#fff200,['0200L5-TNALAEREA']
145,88.0,59.0,linea5,#clg-fff200,Hangares,88.75,59.0,,,#fff200,['0200L5-HANGARES']
146,88.0,65.0,lineaA,#clg-xf-d6297d,Pantitlán,89.5,65.0,,,#d6297d,"['0200LA-PANTITLAN' '0200L9-PANTITLAN' '0200L5-PANTITLAN'
'0200L1-PANTITLAN']"
147,88.0,95.0,linea8,                                                                                                                  #clg-00be00,Constitucion de 1917,88.75,95.0,,,#00be00,['0200L8-CONST1917']
148,88.0,107.0,linea12,#clg-fff0b5,Olivos,88.75,107.0,,,#fff0b5,['020L12-OLIVOS']
149,90.0,109.0,linea12,#clg-fff0b5,Nopalera,90.75,109.0,,,#fff0b5,['020L12-NOPALERA']
150,91.0,69.0,lineaA,                                                                                                                  #clg-d6297d,Agricola Oriental,91.75,69.0,,,#d6297d,['0200LA-AGRICOLA']
151,91.0,72.0,lineaA,                                                                                                                  #clg-d6297d,Canal de San Juan,91.75,72.0,,,#d6297d,['0200LA-CANALSANJUAN']
152,91.0,75.0,lineaA,#clg-d6297d,Tepalcates,91.75,75.0,,,#d6297d,['0200LA-TEPALCATES']
153,91.0,78.0,lineaA,#clg-d6297d,Guelatao,91.75,78.0,,,#d6297d,['0200LA-GUELATAO']
154,91.0,81.0,lineaA,                                                                                                                  #clg-d6297d,Penon Viejo,91.75,81.0,,,#d6297d,['0200LA-PENONVIEJO']
155,91.0,84.0,lineaA,#clg-d6297d,Acatitla,91.75,84.0,,,#d6297d,['0200LA-ACATITLA']
156,91.0,87.0,lineaA,                                                                                                                  #clg-d6297d,Santa Marta,92.5,87.0,,,#d6297d,['0200LA-STAMARTA']
157,92.0,90.0,lineaA,                                                                                                                  #clg-d6297d,Los Reyes,92.75,90.0,,,#d6297d,['0200LA-LOSREYES']
158,92.0,111.0,linea12,#clg-fff0b5,Zapotitlan,92.75,111.0,,,#fff0b5,['020L12-ZAPOTITLAN']
159,94.0,92.0,lineaA,                                                                                                                  #clg-d6297d,La Paz,94.75,92.0,,,#d6297d,['0200LA-LAPAZ']
160,94.0,113.0,linea12,#clg-fff0b5,Tlaltenco,94.75,113.0,,,#fff0b5,['020L12-TLALTENCO']
161,96.0,115.0,linea12,#clg-fff0b5,Tlahuac,96.75,115.0,,,#fff0b5,['020L12-TLAHUAC']
